! cz-exclamation
" cz-double-quote
# cz-hash
$ cz-dollar
% cz-percent
& cz-ampersand
' cz-quote
( cz-paren-left
) cz-paren-right
* cz-asterisk
+ cz-plus
, cz-comma
- cz-minus
. cz-period
/ cz-slash
0 cz-0
1 cz-1
2 cz-2
3 cz-3
4 cz-4
5 cz-5
6 cz-6
7 cz-7
8 cz-8
9 cz-9
: cz-colon
; cz-semicolon
< cz-less-than
= cz-equal
> cz-greater-than
? cz-question
@ cz-at
[ cz-bracket-left
\ cz-backslash
] cz-bracket-right
^ cz-caret
_ cz-underscore
` cz-backtick
{ cz-brace-left
| cz-pipe
} cz-brace-right
~ cz-tilde
← cz-arrow-left
→ cz-arrow-right
↑ cz-arrow-up
↓ cz-arrow-down
↔ cz-arrow-left-right
↕ cz-arrow-up-down
↖ cz-arrow-up-left
↗ cz-arrow-up-right
↘ cz-arrow-down-right
↙ cz-arrow-down-left
↩ cz-arrow-return-left
↪ cz-arrow-return-right
⇐ cz-double-arrow-left
⇒ cz-double-arrow-right
⇑ cz-double-arrow-up
⇓ cz-double-arrow-down
⇔ cz-double-arrow-left-right
■ cz-square-filled
□ cz-square
▪ cz-square-small-filled
▫ cz-square-small
▲ cz-triangle-up
△ cz-triangle-up-outline
▶ cz-triangle-right
▷ cz-triangle-right-outline
▼ cz-triangle-down
▽ cz-triangle-down-outline
◀ cz-triangle-left
◁ cz-triangle-left-outline
◆ cz-diamond-filled
◇ cz-diamond
○ cz-circle
● cz-circle-filled
◎ cz-circle-double
◐ cz-circle-half-left
◑ cz-circle-half-right
◒ cz-circle-half-bottom
◓ cz-circle-half-top
★ cz-star-filled
☆ cz-star
☐ cz-checkbox-empty
☑ cz-checkbox-checked
☒ cz-checkbox-x
☓ cz-saltire
☰ cz-menu-lines
☱ cz-trigram-heaven
☲ cz-trigram-lake
☳ cz-trigram-fire
☴ cz-trigram-thunder
☵ cz-trigram-water
☶ cz-trigram-mountain
☷ cz-trigram-earth
♠ cz-spade
♣ cz-club
♥ cz-heart
♦ cz-diamond-suit
♩ cz-quarter-note
♪ cz-eighth-note
♫ cz-beamed-eighth-notes
♬ cz-beamed-sixteenth-notes
♭ cz-flat
♮ cz-natural
♯ cz-sharp
⚐ cz-flag-outline
⚑ cz-flag-filled
⚒ cz-hammer-pick
⚓ cz-anchor
⚔ cz-crossed-swords
⚕ cz-medical
⚖ cz-scales
⚗ cz-alembic
⚙ cz-gear
⚚ cz-staff-of-hermes
⚛ cz-atom
⚜ cz-fleur-de-lis
⚠ cz-warning
⚡ cz-lightning
⚢ cz-doubled-female
⚣ cz-doubled-male
⚤ cz-interlocked
⚥ cz-male-female
⚦ cz-male-with-stroke
⚧ cz-male-female-with-stroke
⚨ cz-vertical-male
⚩ cz-horizontal-male
⚪ cz-circle-white
⚫ cz-circle-black
⚬ cz-circle-small
⚭ cz-marriage
⚮ cz-divorce
⚯ cz-unmarried
⚰ cz-coffin
⚱ cz-funeral-urn
⚲ cz-neuter
⛀ cz-draughts-white
⛁ cz-draughts-white-king
⛂ cz-draughts-black
⛃ cz-draughts-black-king
✀ cz-scissors-upper-blade
✁ cz-scissors-upper-blade-open
✂ cz-scissors
✃ cz-scissors-lower-blade-open
✄ cz-scissors-lower-blade
✅ cz-check-mark-button
✆ cz-telephone-location-sign
✇ cz-tape-drive
✈ cz-airplane
✉ cz-envelope
✊ cz-raised-fist
✋ cz-raised-hand
✌ cz-victory-hand
✍ cz-writing-hand
✎ cz-lower-right-pencil
✏ cz-pencil
✐ cz-upper-right-pencil
✑ cz-white-nib
✒ cz-black-nib
✓ cz-check-mark
✔ cz-heavy-check-mark
✕ cz-multiplication-x
✖ cz-heavy-multiplication-x
✗ cz-ballot-x
✘ cz-heavy-ballot-x
✙ cz-outlined-greek-cross
✚ cz-heavy-greek-cross
✛ cz-open-centre-cross
✜ cz-heavy-open-centre-cross
✝ cz-latin-cross
✞ cz-shadowed-white-latin-cross
✟ cz-outlined-latin-cross
✠ cz-maltese-cross
✡ cz-star-of-david
✢ cz-four-teardrop-spoked-asterisk
✣ cz-four-balloon-spoked-asterisk
✤ cz-heavy-four-balloon-spoked-asterisk
✥ cz-four-club-spoked-asterisk
✦ cz-black-four-pointed-star
✧ cz-white-four-pointed-star
✨ cz-sparkles
✩ cz-stress-outlined-white-star
✪ cz-circled-white-star
✫ cz-open-centre-black-star
✬ cz-black-centre-white-star
✭ cz-outlined-black-star
✮ cz-heavy-outlined-black-star
✯ cz-pinwheel-star
✰ cz-shadowed-white-star
✱ cz-heavy-asterisk
✲ cz-open-centre-asterisk
✳ cz-eight-spoked-asterisk
✴ cz-eight-pointed-black-star
✵ cz-eight-pointed-pinwheel-star
✶ cz-six-pointed-black-star
✷ cz-eight-pointed-rectilinear-black-star
✸ cz-heavy-eight-pointed-rectilinear-black-star
✹ cz-twelve-pointed-black-star
✺ cz-sixteen-pointed-asterisk
✻ cz-teardrop-spoked-asterisk
✼ cz-open-centre-teardrop-spoked-asterisk
✽ cz-heavy-teardrop-spoked-asterisk
✾ cz-six-petalled-black-and-white-florette
✿ cz-black-florette
❀ cz-white-florette
❁ cz-eight-petalled-outlined-black-florette
❂ cz-circled-open-centre-eight-pointed-star
❃ cz-heavy-teardrop-spoked-pinwheel-asterisk
❄ cz-snowflake
❅ cz-tight-trifoliate-snowflake
❆ cz-heavy-chevron-snowflake
❇ cz-sparkle
❈ cz-heavy-sparkle
❉ cz-balloon-spoked-asterisk
❊ cz-eight-teardrop-spoked-propeller-asterisk
❋ cz-heavy-eight-teardrop-spoked-propeller-asterisk
❌ cz-cross-mark
❍ cz-shadowed-white-circle
❎ cz-cross-mark-button
❏ cz-lower-right-drop-shadowed-white-square
❐ cz-upper-right-drop-shadowed-white-square
❑ cz-lower-right-shadowed-white-square
❒ cz-upper-right-shadowed-white-square
❓ cz-question-mark
❔ cz-white-question-mark
❕ cz-white-exclamation-mark
❖ cz-black-diamond-minus-white-x
❗ cz-exclamation-mark
❘ cz-light-vertical-bar
❙ cz-medium-vertical-bar
❚ cz-heavy-vertical-bar
❛ cz-heavy-single-turned-comma-quotation-mark-ornament
❜ cz-heavy-single-comma-quotation-mark-ornament
❝ cz-heavy-double-turned-comma-quotation-mark-ornament
❞ cz-heavy-double-comma-quotation-mark-ornament
❟ cz-heavy-low-single-comma-quotation-mark-ornament
❠ cz-heavy-low-double-comma-quotation-mark-ornament
❡ cz-curved-stem-paragraph-sign-ornament
❢ cz-heavy-exclamation-mark-ornament
❣ cz-heart-exclamation-mark-ornament
❤ cz-heavy-heart
❥ cz-rotated-heavy-heart
❦ cz-floral-heart
❧ cz-rotated-floral-heart
➔ cz-heavy-wide-headed-right-arrow
➕ cz-heavy-plus
➖ cz-heavy-minus
➗ cz-heavy-division
➘ cz-heavy-south-east-arrow
➙ cz-dashed-right-arrow
➚ cz-heavy-north-east-arrow
➛ cz-drafting-point-right-arrow
➜ cz-heavy-round-tipped-right-arrow
➝ cz-triangle-headed-right-arrow
➞ cz-heavy-triangle-headed-right-arrow
➟ cz-dashed-triangle-headed-right-arrow
➠ cz-heavy-dashed-triangle-headed-right-arrow
➡ cz-black-right-arrow
➢ cz-three-d-top-lit-right-arrowhead
➣ cz-three-d-bottom-lit-right-arrowhead
➤ cz-black-right-arrowhead
➥ cz-heavy-black-curved-down-right-arrow
➦ cz-heavy-black-curved-up-right-arrow
➧ cz-squat-black-right-arrow
➨ cz-heavy-concave-pointed-black-right-arrow
➩ cz-right-shaded-white-right-arrow
➪ cz-left-shaded-white-right-arrow
➫ cz-back-tilted-shadowed-white-right-arrow
➬ cz-front-tilted-shadowed-white-right-arrow
➭ cz-heavy-lower-right-shadowed-white-right-arrow
➮ cz-heavy-upper-right-shadowed-white-right-arrow
➯ cz-notched-lower-right-shadowed-white-right-arrow
➱ cz-notched-upper-right-shadowed-white-right-arrow
➲ cz-circled-heavy-white-right-arrow
➳ cz-white-feathered-right-arrow
➴ cz-black-feathered-south-east-arrow
➵ cz-black-feathered-right-arrow
➶ cz-black-feathered-north-east-arrow
➷ cz-heavy-black-feathered-south-east-arrow
➸ cz-heavy-black-feathered-right-arrow
➹ cz-heavy-black-feathered-north-east-arrow
➺ cz-teardrop-barbed-right-arrow
➻ cz-heavy-teardrop-shanked-right-arrow
➼ cz-wedge-tailed-right-arrow
➽ cz-heavy-wedge-tailed-right-arrow
➾ cz-open-outlined-right-arrow
⌀ cz-diameter
⌁ cz-electric-arrow
⌂ cz-house
⌃ cz-up-arrowhead
⌄ cz-down-arrowhead
⌅ cz-projective
⌆ cz-perspective
⌇ cz-wavy-line
⌈ cz-left-ceiling
⌉ cz-right-ceiling
⌊ cz-left-floor
⌋ cz-right-floor
⌌ cz-bottom-right-crop
⌍ cz-bottom-left-crop
⌎ cz-top-right-crop
⌏ cz-top-left-crop
⌐ cz-reversed-not-sign
⌑ cz-squared-logical-or
⌒ cz-arc
⌓ cz-segment
⌔ cz-sector
⌕ cz-telephone-recorder
⌖ cz-position-indicator
⌗ cz-viewdata-square
⌘ cz-command
⌙ cz-checked-box
⌚ cz-watch
⌛ cz-hourglass
⌜ cz-top-left-corner
⌝ cz-top-right-corner
⌞ cz-bottom-left-corner
⌟ cz-bottom-right-corner
⌠ cz-top-half-integral
⌡ cz-bottom-half-integral
⌢ cz-frown
⌣ cz-smile
⌤ cz-up-arrowhead-between-two-horizontal-bars
⌥ cz-option
⌦ cz-erase-to-right
⌧ cz-x-in-rectangle-box
⌨ cz-keyboard
⌫ cz-erase-to-left
⌬ cz-triangle
⎋ cz-escape
⏏ cz-eject
⏐ cz-vertical-line-extension
⏑ cz-metrical-breve
⏒ cz-metrical-long-over-short
⏓ cz-metrical-short-over-long
⏔ cz-metrical-long-over-two-shorts
⏕ cz-metrical-two-shorts-over-long
⏖ cz-metrical-two-shorts-joined
⏗ cz-metrical-long
⏘ cz-metrical-two-longs
⏙ cz-metrical-three-shorts
⏚ cz-earth-ground
⏛ cz-fuse
